,altitude,availableBikes,availableDocks,city,id,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,statusKey,statusValue,testStation,totalDocks
151,,0,0,,373,,2016-01-26 06:15:43 PM,40.69331716,,-73.95381995,,Willoughby Ave & Walworth St,,Willoughby Ave & Walworth St,3,Not In Service,False,19
152,,0,22,,375,,2016-01-26 06:15:15 PM,40.72679454,,-73.99695094,,Mercer St & Bleecker St,,Mercer St & Bleecker St,3,Not In Service,False,30
153,,0,15,,376,,2016-01-26 06:15:47 PM,40.70862144,,-74.00722156,,John St & William St,,John St & William St,3,Not In Service,False,43
154,,0,21,,377,,2016-01-26 06:15:06 PM,40.72243797,,-74.00566443,,6 Ave & Canal St,,6 Ave & Canal St,3,Not In Service,False,47
155,,0,26,,379,,2016-01-26 06:17:50 PM,40.749156,,-73.9916,,W 31 St & 7 Ave,,W 31 St & 7 Ave,3,Not In Service,False,42
156,,0,1,,380,,2016-01-26 06:14:42 PM,40.73401143,,-74.00293877,,W 4 St & 7 Ave S,,W 4 St & 7 Ave S,3,Not In Service,False,39
157,,0,4,,382,,2016-01-26 06:16:33 PM,40.73492695,,-73.99200509,,University Pl & E 14 St,,University Pl & E 14 St,3,Not In Service,False,36
158,,0,24,,383,,2016-01-26 06:16:34 PM,40.735238,,-74.000271,,Greenwich Ave & Charles St,,Greenwich Ave & Charles St,3,Not In Service,False,39
159,,0,17,,384,,2016-01-26 06:15:00 PM,40.683048,,-73.964915,,Fulton St & Washington Ave,,Fulton St & Washington Ave,3,Not In Service,False,31
160,,0,29,,385,,2016-01-26 06:17:12 PM,40.75797322,,-73.96603308,,E 55 St & 2 Ave,,E 55 St & 2 Ave,3,Not In Service,False,29
161,,0,17,,386,,2016-01-26 06:15:46 PM,40.71494807,,-74.00234482,,Centre St & Worth St,,Centre St & Worth St,3,Not In Service,False,43
162,,0,35,,387,,2016-01-26 06:18:16 PM,40.71273266,,-74.0046073,,Centre St & Chambers St,,Centre St & Chambers St,3,Not In Service,False,39
163,,0,32,,388,,2016-01-26 06:16:08 PM,40.749717753,,-74.002950346,,W 26 St & 10 Ave,,W 26 St & 10 Ave,3,Not In Service,False,35
164,,0,26,,389,,2016-01-26 06:17:57 PM,40.71044554,,-73.96525063,,Broadway & Berry St,,Broadway & Berry St,3,Not In Service,False,27
165,,0,15,,390,,2016-01-26 06:16:39 PM,40.69221589,,-73.9842844,,Duffield St & Willoughby St,,Duffield St & Willoughby St,3,Not In Service,False,31
166,,0,20,,391,,2016-01-26 06:18:37 PM,40.69760127,,-73.99344559,,Clark St & Henry St,,Clark St & Henry St,3,Not In Service,False,31
167,,0,22,,392,,2016-01-26 06:15:13 PM,40.695065,,-73.987167,,Jay St & Tech Pl,,Jay St & Tech Pl,3,Not In Service,False,32
168,,0,31,,393,,2016-01-26 06:17:53 PM,40.72299208,,-73.97995466,,E 5 St & Avenue C,,E 5 St & Avenue C,3,Not In Service,False,31
