2014-08-11,20,2,9,4,5,5,3,8,7,2,1,5,3,0,0,2,0,0,1,0,6,11,6,5,6,4,2,4,3,0,3,3,34,14,22,23,6,17,27,17,42,27,20,54,30,18,6,15,49,51,34,21,28,41,24,48,22,49,108,23,35,25,54,22,32,32,1,28,0,5
2014-08-12,20,2,8,5,10,2,4,3,7,0,3,4,4,2,0,1,0,0,0,0,6,15,5,6,3,7,5,2,3,3,5,3,30,20,22,21,11,16,30,22,60,30,25,51,37,30,5,21,57,51,34,29,36,46,26,41,25,69,99,33,28,34,56,24,37,48,2,28,0,8
2014-08-13,17,2,8,5,4,4,7,6,7,4,3,10,5,2,0,1,0,0,0,0,6,11,2,5,6,7,3,3,0,1,1,2,29,17,19,18,4,11,20,21,55,29,21,50,27,34,13,12,37,61,28,23,27,47,23,42,24,49,101,33,21,27,56,25,31,45,2,27,1,5
2014-08-14,18,3,6,3,8,6,4,5,5,2,1,4,3,0,0,3,1,0,0,1,5,14,3,3,3,4,3,2,3,2,1,0,42,24,19,21,7,8,19,28,57,26,22,50,35,21,5,14,48,45,29,19,40,40,31,46,20,57,113,23,23,27,49,25,33,42,2,21,1,3
2014-08-15,13,3,6,3,8,4,3,2,5,8,7,3,3,0,0,1,0,0,0,0,4,16,1,1,3,10,3,0,2,1,3,1,29,18,20,16,10,20,9,20,47,24,17,49,21,24,9,14,49,54,32,27,23,37,18,35,21,68,95,17,26,32,50,27,45,26,4,26,1,5
2014-08-16,0,1,4,1,1,0,2,2,0,3,3,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,2,0,0,10,11,9,6,2,9,10,3,32,3,16,3,14,5,4,7,35,29,10,2,11,13,7,12,12,6,17,16,10,11,14,6,21,14,2,2,0,3
2014-08-17,9,3,2,0,3,5,0,2,0,8,0,2,2,0,0,0,0,0,0,0,3,3,1,4,3,2,3,2,2,1,1,4,17,3,9,5,13,5,2,10,28,9,15,3,6,6,6,1,25,22,4,3,8,6,5,12,9,12,13,13,7,15,10,6,17,11,0,0,0,1
2014-08-18,20,1,5,3,6,2,6,4,7,1,1,3,0,0,0,1,1,0,2,0,9,16,5,6,6,9,3,4,0,0,7,3,36,14,17,27,4,15,16,22,43,28,21,53,27,19,8,8,48,55,33,22,35,55,18,44,22,69,104,24,24,27,56,27,44,47,2,28,0,4
2014-08-19,16,1,8,1,5,4,4,4,4,0,0,4,4,1,1,3,1,0,1,0,9,15,7,3,5,9,4,4,6,5,2,3,35,19,18,18,8,21,17,22,54,28,33,49,43,18,7,16,38,58,35,27,26,53,24,33,28,64,91,24,28,27,44,26,38,40,2,27,1,5
2014-08-20,15,9,6,1,5,2,5,3,6,1,2,4,4,1,0,0,0,0,0,0,6,12,5,5,5,8,5,5,3,2,3,3,35,19,20,19,12,18,17,18,60,26,23,57,34,24,14,11,45,61,33,25,27,47,27,41,27,61,126,20,26,38,43,26,37,54,1,24,0,5
2014-08-21,18,7,9,3,4,6,3,1,4,1,1,3,5,0,0,2,1,0,0,0,6,12,4,7,2,8,4,3,2,2,3,1,31,17,16,23,8,23,18,32,52,0,31,74,38,27,5,11,35,67,35,23,30,55,28,39,29,64,120,22,32,38,52,26,40,47,7,28,0,7
2014-08-22,21,2,10,4,3,6,5,8,8,1,0,4,4,2,0,2,0,0,0,0,3,14,3,5,5,8,2,3,0,1,1,0,34,20,24,25,8,25,21,18,67,0,26,46,28,25,10,13,61,52,22,22,26,40,23,40,20,58,97,23,21,24,60,19,31,50,2,27,0,2
2014-08-23,3,0,9,0,6,3,3,2,1,1,2,0,2,0,1,2,0,0,0,0,1,3,0,1,0,2,6,2,2,0,1,0,16,2,7,2,10,14,7,4,55,6,16,5,8,2,7,9,52,16,5,6,13,15,11,9,12,13,17,16,22,8,7,1,18,17,0,3,0,1
2014-08-24,2,0,4,0,2,1,0,2,0,0,0,0,3,0,0,0,0,2,0,0,0,6,2,0,0,3,0,1,1,4,3,1,12,6,6,10,4,2,8,8,32,12,16,3,6,8,7,2,26,7,3,1,7,10,8,10,8,5,19,13,12,7,6,5,14,4,1,0,0,0
2014-08-25,19,2,7,3,2,4,3,2,8,1,1,0,2,1,0,2,0,0,0,0,7,11,3,8,5,5,0,1,1,1,2,1,45,26,23,24,6,21,9,21,52,31,28,67,47,24,7,21,58,67,37,32,45,51,21,39,31,62,103,21,22,31,53,24,30,57,1,26,1,5
2014-08-26,23,7,8,4,2,4,10,5,8,10,2,4,6,3,0,2,1,0,0,0,7,16,4,8,3,6,0,4,2,0,3,0,37,18,19,28,11,26,20,18,63,28,28,67,35,24,8,18,48,69,35,26,43,61,39,49,35,64,120,23,32,41,56,38,56,45,4,23,0,6
2014-08-27,22,1,9,1,1,6,5,3,10,3,1,4,2,2,1,3,1,2,0,0,6,13,3,5,3,7,1,7,4,2,4,0,37,24,23,32,9,17,15,20,67,28,28,55,52,21,5,21,47,67,36,26,45,52,31,40,32,60,113,28,27,33,63,34,42,73,2,35,2,5
2014-08-28,20,3,7,4,2,2,5,1,5,7,3,1,1,3,0,6,0,0,0,0,5,11,1,8,2,7,2,3,3,1,0,0,26,23,17,24,8,14,13,21,59,30,22,63,48,34,7,17,41,68,31,28,45,47,23,46,15,69,95,18,28,31,52,37,39,57,2,22,2,5
2014-08-29,12,3,3,8,5,3,4,1,7,2,0,4,3,4,0,0,1,0,0,1,5,13,2,3,0,5,0,1,3,1,3,0,39,15,15,15,12,16,15,25,71,29,25,64,27,18,6,12,60,75,25,19,30,33,30,45,17,66,87,19,31,18,47,47,32,37,4,23,0,6
2014-08-30,2,1,5,0,1,3,0,1,0,1,3,0,0,1,0,0,0,0,0,0,1,2,1,0,3,1,3,1,0,0,0,0,21,6,6,9,10,7,10,6,65,14,23,3,7,7,4,5,46,18,7,5,9,12,9,16,11,9,21,11,6,16,9,3,17,12,2,8,0,1
2014-08-31,2,0,3,0,3,4,3,3,0,1,1,2,3,0,0,2,0,0,0,0,1,1,4,0,0,4,0,2,2,6,4,0,25,8,15,0,15,13,11,1,54,3,20,4,6,14,13,3,49,20,4,1,10,7,8,8,9,6,12,15,7,16,3,8,18,10,0,5,0,1
2014-09-01,6,3,0,0,0,1,0,1,0,0,1,2,1,0,0,0,0,0,0,0,3,1,0,0,2,3,2,1,0,0,0,0,16,4,8,6,8,8,8,5,26,9,18,3,3,5,7,9,30,7,2,1,8,8,10,17,3,8,10,15,6,15,15,6,19,10,0,7,0,1
2014-09-02,25,3,5,1,6,3,4,5,11,2,1,2,3,2,0,1,0,0,0,0,7,19,6,7,6,7,2,1,5,1,1,1,31,21,16,21,8,18,18,19,61,31,24,57,44,21,8,17,34,52,34,27,42,47,21,41,16,67,111,18,30,25,47,30,35,49,4,29,1,7
2014-09-03,24,2,9,1,6,3,4,6,11,2,2,2,3,3,0,6,0,1,1,0,5,10,8,7,6,4,3,4,1,2,1,0,37,19,20,21,6,19,10,26,70,32,22,57,31,17,8,18,42,48,38,27,39,52,21,51,30,91,123,20,25,26,56,35,38,50,4,28,2,8
2014-09-04,25,1,10,3,4,3,4,2,5,6,2,2,5,2,0,2,1,0,0,0,5,12,4,7,3,4,1,4,0,1,2,1,27,30,17,20,11,18,22,19,57,30,22,61,36,19,7,11,40,62,33,29,47,43,18,52,39,75,118,30,34,38,50,25,34,58,4,26,1,5
2014-09-05,24,2,8,2,6,4,2,1,5,2,0,4,0,1,0,0,0,0,0,0,6,9,5,6,4,6,2,4,0,2,2,1,39,21,17,26,11,16,20,22,51,24,19,52,29,18,12,18,42,56,34,23,42,44,27,41,27,67,91,21,36,23,47,31,36,38,2,24,1,9
